internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
132886,Acropora seriata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,seriata,,,,,"(Ehrenberg, 1834)","Wallace (1999) considered this species as 'unresolved' and it was not included in the revision of <em>Acropora </em>by Wallace <em>et al.</em> (2012). It is considered a valid species by Veron (2000), Veron<em> et al</em>. (2016) and the WoRMS online database (accessed January 2023)."
132887,Leptoseris explanata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,explanata,,,,,"Yabe &amp; Sugiyama, 1941",
132888,Acropora secale,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,secale,,,,,"(Studer, 1878)",
132889,Porites nodifera,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,nodifera,,,,,"Klunzinger, 1879",
132890,Catalaphyllia jardinei,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Catalaphyllia,jardinei,,,,,"(Saville-Kent, 1893)",
132891,Porites duerdeni,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,duerdeni,,,,,"Vaughan, 1907","According to the WoRMS database (accessed 5 January 2022), the taxonomic validity of this species is uncertain or disputed by different experts."
132892,Montipora hodgsoni,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,hodgsoni,,,,,"Veron, 2000",
132893,Platygyra crosslandi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Platygyra,crosslandi,,,,,"(Matthai, 1928)",
132894,Dipsastraea veroni,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Dipsastraea,veroni,,,,,"(Moll &amp; Borel-Best, 1984)",
132895,Hydnophora pilosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Hydnophora,pilosa,,,,,"Veron, 1985",
132896,Alveopora marionensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Alveopora,marionensis,,,,,"Veron &amp; Pichon, 1982",
132897,Porites eridani,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,eridani,,,,,"Umbgrove, 1940",
132898,Goniopora cellulosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,cellulosa,,,,,"Veron, 1990",
132899,Dipsastraea rosaria,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Dipsastraea,rosaria,,,,,"(Veron, 2000)",
132900,Lobophyllia radians,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,LOBOPHYLLIIDAE,Lobophyllia,radians,,,,,"Milne Edwards &amp; Haime, 1849",
