accession_id,included,Title,Authors,Year,DOI,inclusion_summary,passed_screening,screened_fail_stage,full_text_available,passed_inclusion_criteria,criteria_failed,criteria_fail_reason,Database.ID,Source.title,Document.Type,Cited
A_1161,Y,Population structure is not a simple function of reproductive mode and larval type: insights from tropical corals,"Miller, Karen J.; Ayre, David J.",2008,10.1111/j.1365-2656.2008.01387.x,included,Y,NA,Y,Y,NA,NA,WOS:000256539800011,JOURNAL OF ANIMAL ECOLOGY,Article,93
A_1162,N,Connectivity in reef fish assemblages between seagrass and coral reef habitats,"Campbell, Stuart J.; Kartawijaya, Tasrif; Sabarini, Etwin K.",2011,10.3354/ab00352,screened_by_title,N,title,NA,NA,NA,NA,WOS:000292988500008,AQUATIC BIOLOGY,Article,21
A_1163,N,"SURVIVAL, SITE FIDELITY, AND POPULATION TRENDS OF AMERICAN KESTRELS WINTERING IN SOUTHWESTERN FLORIDA","Hinnebusch, Daniel M.; Therrien, Jean-Francois; Valiquette, Marc-Andre; Robertson, Bob; Robertson, Sue; Bildstein, Keith L.",2010,10.1676/09-170.1,screened_by_title,N,title,NA,NA,NA,NA,WOS:000282115100007,WILSON JOURNAL OF ORNITHOLOGY,Article,21
A_1164,Y,Climate-Change Refugia for the Bubblegum Coral Paragorgia arborea in the Northwest Atlantic,"Wang, Shuangqiang; Murillo, F. Javier; Kenchington, Ellen",2022,10.3389/fmars.2022.863693,included,Y,NA,Y,Y,NA,NA,WOS:000834135400001,FRONTIERS IN MARINE SCIENCE,Article,3
A_1166,N,Artisanal fish fences pose broad and unexpected threats to the tropical coastal seascape,"Exton, Dan A.; Ahmadia, Gabby N.; Cullen-Unsworth, Leanne C.; Jompa, Jamaluddin; May, Duncan; Rice, Joel; Simonin, Paul W.; Unsworth, Richard K. F.; Smith, David J.",2019,10.1038/s41467-019-10051-0,screened_by_abstract,N,abstract,NA,NA,NA,NA,WOS:000468445800001,NATURE COMMUNICATIONS,Article,19
A_1167,N,Chilling requirements of Paeonia cultivars,"Fulton, TA; Hall, AJ; Catley, JL",2001,10.1016/S0304-4238(00)00237-5,screened_by_title,N,title,NA,NA,NA,NA,WOS:000170465100006,SCIENTIA HORTICULTURAE,Article,53
A_1168,N,Sampling larval fishes with a nightlight lift-net in tropical inshore waters,"Rooker, JR; Dennis, GD; Goulet, D",1996,10.1016/0165-7836(95)00407-6,screened_by_title,N,title,NA,NA,NA,NA,WOS:A1996UF56000001,FISHERIES RESEARCH,Article,24
A_1169,N,Management and conservation of the kelp species Laminaria digitata: using genetic tools to explore the potential exporting role of the MPA Parc naturel marin d'Iroise,"Couceiro, Lucia; Robuchon, Marine; Destombe, Christophe; Valero, Myriam",2013,10.1051/alr/2012027,screened_by_title,N,title,NA,NA,NA,NA,WOS:000322290200009,AQUATIC LIVING RESOURCES,Article,21
A_1170,N,"Linking local retention, self-recruitment, and persistence in marine metapopulations","Lett, Christophe; Tri Nguyen-Huu; Cuif, Marion; Saenz-Agudelo, Pablo; Kaplan, David M.",2015,10.1890/14-1305.1,screened_by_abstract,N,abstract,NA,NA,NA,NA,WOS:000358454500021,ECOLOGY,Article,36
A_1171,N,The non-native royal damsel (Neopomacentrus cyanomos) in the southern Gulf of Mexico: An invasion risk?,"Johnston, Matthew W.; Akins, John L.",2016,10.1007/s00227-015-2777-7,screened_by_title,N,title,NA,NA,NA,NA,WOS:000369243700010,MARINE BIOLOGY,Article,12
A_1172,Y,Investigating the role of larval dispersal models in the development of an 'ecologically coherent' network of deep sea marine protected areas,"Ross, Rebecca E.",2016,,included,Y,NA,Y,Y,NA,NA,PQDT:67693869,,Dissertation/Thesis,0
A_1174,N,Single and joint effects of regional- and local-scale variables on tropical seagrass fish assemblages,"Alonso Aller, Elisa; Gullstrom, Martin; Maarse, Floriaan K. J. Eveleens; Gren, Michaela; Nordlund, Lina Mtwana; Jiddawi, Narriman; Eklof, Johan S.",2014,10.1007/s00227-014-2514-7,screened_by_title,N,title,NA,NA,NA,NA,WOS:000342415200017,MARINE BIOLOGY,Article,21
A_1175,N,DP0662907,Geoffrey Jones; Garry Russ; Serge Planes; Simon Thorrold,2006,,excluded_criteria_1,Y,NA,Y,N,1,G,GRANTS:15543069,,Awarded Grant,0
A_1176,N,Ecology of mesophotic coral reefs,"Lesser, Michael P.; Slattery, Marc; Leichter, James J.",2009,10.1016/j.jembe.2009.05.009,excluded_criteria_1,Y,NA,Y,N,1,Review,WOS:000268403200001,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,Review,420
A_1177,Y,Molecular assessment of deep-sea scleractinian coral biodiversity and population structure of Lophelia pertusa in the Gulf of Mexico.,"Morrison, Cheryl L.; Johnson, Robin L.; King, Tim L.; Ross, Steve W.; Nizinski, Martha S.",2008,,included,Y,NA,Y,Y,NA,NA,ZOOREC:ZOOR14504024534,OCS Study Report MMS,Article,0
A_1178,N,"Incorporating ontogenetic dispersal, ecological processes and conservation zoning into reserve design","Edwards, Helen J.; Elliott, Ian A.; Pressey, Robert L.; Mumby, Peter J.",2010,10.1016/j.biocon.2009.11.013,screened_by_abstract,N,abstract,NA,NA,NA,NA,WOS:000274761000021,BIOLOGICAL CONSERVATION,Article,68
A_1179,N,"Larval brooding in the marine damselfish Acanthochromis polyacanthus (Pomacentridae) is correlated with highly divergent morphology, ontogeny and lift-history traits","Kavanagh, KD",2000,,screened_by_title,N,title,NA,NA,NA,NA,WOS:000085998300004,BULLETIN OF MARINE SCIENCE,Article,69
A_1180,N,Environmental influences on temporal patterns of settlement in two littoral labrid fishes in the Mediterranean Sea,"Raventos, N; Macpherson, E",2005,10.1016/j.ecss.2004.11.018,screened_by_title,N,title,NA,NA,NA,NA,WOS:000229809900002,ESTUARINE COASTAL AND SHELF SCIENCE,Article,32
A_1181,N,Full-Sibs in Cohorts of Newly Settled Coral Reef Fishes,"Bernardi, Giacomo; Beldade, Ricardo; Holbrook, Sally J.; Schmitt, Russell J.",2012,10.1371/journal.pone.0044953,screened_by_title,N,title,NA,NA,NA,NA,WOS:000308788700063,PLOS ONE,Article,63
A_1183,N,Variability in reproductive output across a water quality gradient for a tropical marine sponge,"Whalan, S.; Battershill, C.; de Nys, R.",2007,10.1007/s00227-007-0792-z,screened_by_title,N,title,NA,NA,NA,NA,WOS:000250980500005,MARINE BIOLOGY,Article,34
A_1184,N,Contrasting larval transport in demersal fish and benthic invertebrates: the roles of behaviour and advective processes in determining spatial pattern,"Bradbury, IR; Snelgrove, PVR",2001,10.1139/cjfas-58-4-811,excluded_criteria_1,Y,NA,Y,N,1,Review,WOS:000167907000017,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Article,136
A_1185,Y,Fine-scale analysis of genetic structure in the brooding coral Seriatopora hystrix from the Red Sea,"Maier, E.; Tollrian, R.; Nuernberger, B.",2009,10.1007/s00338-009-0497-5,included,Y,NA,Y,Y,NA,NA,WOS:000268323800023,CORAL REEFS,Article,16
A_1186,N,Ecological role and services of tropical mangrove ecosystems: a reassessment,"Lee, Shing Yip; Primavera, Jurgene H.; Dahdouh-Guebas, Farid; McKee, Karen; Bosire, Jared O.; Cannicci, Stefano; Diele, Karen; Fromard, Francois; Koedam, Nico; Marchand, Cyril; Mendelssohn, Irving; Mukherjee, Nibedita; Record, Sydne",2014,10.1111/geb.12155,screened_by_title,N,title,NA,NA,NA,NA,WOS:000337543700003,GLOBAL ECOLOGY AND BIOGEOGRAPHY,Review,514
A_1187,N,"Composition, uniqueness and connectivity across tropical coastal lagoon habitats in the Red Sea","Alsaffar, Zahra; Curdia, Joao; Irigoien, Xabier; Carvalho, Susana",2020,10.1186/s12898-020-00329-z,screened_by_abstract,N,abstract,NA,NA,NA,NA,WOS:000595675900001,BMC ECOLOGY,Article,4
A_1188,N,Colloidal nitrogen is an important and highly-mobile form of nitrogen discharging into the Great Barrier Reef lagoon,"Judy, Jonathan D.; Kirby, Jason K.; Farrell, Mark; McLaughlin, Mike J.; Wilkinson, Scott N.; Bartley, Rebecca; Bertsch, Paul M.",2018,10.1038/s41598-018-31115-z,screened_by_title,N,title,NA,NA,NA,NA,WOS:000442870300032,SCIENTIFIC REPORTS,Article,14
A_1189,N,Spatial and environmental variables structure sponge symbiont communities,"Cleary, Daniel F. R.; Polonia, Ana R. M.; Swierts, Thomas; Coelho, Francisco J. R. C.; de Voogd, Nicole J.; Gomes, Newton C. M.",2022,10.1111/mec.16631,screened_by_title,N,title,NA,NA,NA,NA,WOS:000851467400001,MOLECULAR ECOLOGY,Article,7
A_1190,Y,Vertical distribution and settlement competencies in broadcast spawning coral larvae: Implications for dispersal models,"Tay, Ywee Chieh; Guest, James R.; Chou, Loke Ming; Todd, Peter A.",2011,10.1016/j.jembe.2011.09.013,included,Y,NA,Y,Y,NA,NA,WOS:000298363100042,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,Article,29
